OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species	X1.1	X1.2	X1.3	X1.4	X1.7	X1.8	X2.1	X2.2	X3.1	X3.2	X4.1	X6.2	c.1	c.3
AB302183.1.1513	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Micromonosporales	f__Micromonosporaceae	g__Pseudosporangium	NA	0.0264308712576289	0.0152925241403417	0.0135385552669211	0.00983018357867833	0.0331448984477139	0.038964834237101	0.00599930408072664	0.0359633174162354	0.0101267873779722	0.0223311811252973	0.0118527549188933	0.00349788960660402	0.0029228371005456	0.00935439110709219
AP018198.14188.15678	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Nostocaceae	g__uncultured	NA	0.441315456453137	0.209726045353257	0.0871544495308044	0.969092264464706	0.0552414974128565	0.0681884599149268	0.100788308556207	0.165830852530419	0.0840523352371694	0.0834991989902422	0.0296318872972332	0.0139915584264161	0.0019485580670304	0.0350789666515957
DQ337080.1.1496	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__uncultured	NA	0.112130968971759	0.0742779743959453	0.135385552669211	0.0499700998582815	0.0782587880015468	0.212141875290883	0.0167980514260346	0.0219775828654772	0.0445578644630777	0.0378659158211564	0.0634969013512141	0.00932770561761071	0.0730709275136399	0.034299434059338
KU515371.1.1496	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Janthinobacterium	NA	0.0376439681548048	0.0371389871979727	0.0169231940836513	0.00655345571911889	0.0414311230596424	0.0303059821844119	0	0	0.0141775023291611	0.00291276275547357	0	0	0.00681995323460639	0.00155906518451536
KC358453.1.1228	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Falsirhodobacter	NA	0.204238550627133	0.0546161576440774	0.0211539926045642	0.0303097327009249	0.04235181468319	0.0562825383424792	0.0359958244843598	0.0319673932588759	0.103293231255317	0.0320403903102092	0.0330183887026313	0.0128255952242147	0	0.00233859777677305
JX272008.1.1516	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__uncultured	NA	0.248290002723181	0.0753702975488268	0.458618559666952	0.0540660096827308	0.10772091995507	0.13745927633644	0	0.0439551657309544	0.198485032608255	0.0631098597019273	0.00338650140539808	0	0.0545596258768511	0.0179292496219267
KJ540795.1.1469	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Stigmatella	NA	0.0504589360372916	0.288373312360729	0.0355387075756678	0.0516084637880612	0.0276207487064283	0.0335530517041703	0.0275967987713425	0.0379612794949152	0.0729128691213999	0.0436914413321035	0	0.00116596320220134	0.0155884645362432	0.00857485851483451
GQ327467.1.1370	d__Bacteria	p__Firmicutes	c__Bacilli	o__RF39	f__RF39	g__RF39	NA	0.00240280647796626	0	0	0	0.000920691623547609	0.00108235650658614	0	0	0	0	0	0.00116596320220134	0	0.00311813036903073
KF037934.1.1531	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Chthoniobacteraceae	g__Chthoniobacter	NA	0.382046229996636	0.62808581290689	1.8251664819218	0.245754589466958	0.437328521185114	0.742496563518092	0.104387891004643	0.371620946634433	0.759509053347916	0.213602602068062	0.00761962816214569	0.0268171536506308	0.698558067030398	0.560483933833274
JQ978596.1.1485	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Cyclobacteriaceae	g__uncultured	NA	0.25710029314239	0.142002009874601	0.324079166701923	0.0851949243485455	0.301066160900068	0.314965743416567	0.538737506449252	0.285708577251204	0.451654717057561	0.216515364823535	0.467337193944936	0.0967749457827111	0.0584567420109119	0.236977908046335
KF986570.1.1378	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Antarctobacter	NA	0.00160187098531084	0	0	0.000819181964889861	0	0	0	0	0	0	0	0	0	0
X71837.1.1695	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caedibacterales	f__Caedibacteraceae	g__Caedibacter	NA	0.00160187098531084	0	0.000846159704182567	0.000819181964889861	0	0	0	0	0.00101267873779722	0	0.000846625351349521	0	0	0
JQ769705.1.1482	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Spirosomaceae	g__Fibrisoma	NA	0.0416486456180819	0.00764626207017084	0.000846159704182567	0.00163836392977972	0.0598449555305946	0.00865885205268912	0.00119986081614533	0.00199796207867975	0.0789889415481833	0.00291276275547357	0.000846625351349521	0.00116596320220134	0	0
EU328094.1.1477	d__Bacteria	p__Bacteroidota	c__Rhodothermia	o__Balneolales	f__Balneolaceae	g__Gracilimonas	NA	0.000800935492655422	0	0	0	0.000920691623547609	0.00108235650658614	0	0.00399592415735949	0.00303803621339166	0.00388368367396476	0.00169325070269904	0.00233192640440268	0.0019485580670304	0
JF178819.1.1368	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__uncultured	NA	0.0929085171480289	0.182417966531219	0.0803851718973439	0.0581619195071801	0.0782587880015468	0.133129850310095	0.0359958244843598	0.0279714691015165	0.112407339895492	0.0388368367396476	0.0110061295675438	0	0.0613795791114575	0.102118769585756
KF999957.1.1436	d__Bacteria	p__Chloroflexi	c__Chloroflexia	o__Chloroflexales	f__Roseiflexaceae	g__uncultured	NA	0.0840982267288193	0.0284004019749203	0.0397695060965807	0.0425974621742728	0.0313035152006187	0.0519531123161347	0.0431949893812318	0.0619368244390721	0.149876453193989	0.133987086751784	0.0330183887026313	0.00349788960660402	0.160756040530008	0.00779532592257682
EF654065.1.1463	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Coleofasciculaceae	g__Symplocastrum_CPER-KK1	NA	0.081695420250853	0.0349543408922095	0.305463653209907	4.05003563441547	0.246745355110759	0.115812146204717	7.28195529318599	5.90797386665601	3.83602705877587	0.736928977134812	0.0042331267567476	0.00582981601100669	0.00389711613406079	0.0233859777677305
KR137573.1.1414	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Nostocaceae	g__Nostoc_SAG_60.79	NA	0.0496580005446361	0.00327696945864465	0.0025384791125477	0.035224824490264	0.00368276649419044	0.00108235650658614	0.00839902571301729	0	0.00911410864017499	0	0	0	0	0
FJ905675.1.1337	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Roseobacter_clade_Marinomonas_lineage	NA	0.00160187098531084	0	0	0	0.000920691623547609	0	0	0	0.00101267873779722	0	0	0	0.000974279033515199	0
FPLS01006987.9.1516	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Polaromonas	NA	0.800935492655422	0.109232315288155	0.0270771105338422	0.064715375226299	0.0580035722834994	0.0995767986059248	0.00239972163229065	0.00998981039339873	0.0465832219386722	0.0116510510218943	0.00169325070269904	0	0.00681995323460639	0.00389766296128841
EF612323.1.1365	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__Sphingobacteriaceae	g__Arcticibacter	NA	0.122543130376279	0.0294927251278018	0.0186155134920165	0.00491509178933917	0.0405104314360948	0.0616943208754099	0.0179979122421799	0.0319673932588759	0.0212662534937416	0.0087382882664207	0.00169325070269904	0.00116596320220134	0.0019485580670304	0.00857485851483451
KC011133.1.1462	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Tepidisphaerales	f__WD2101_soil_group	g__WD2101_soil_group	NA	0.571067006263316	0.770087822781492	1.26077795923203	0.672548393174576	0.897674332958919	2.40391380112782	1.0666762655532	3.23270264330383	2.48005022886539	3.38463032186028	0.857631480917065	0.734556817386843	2.50097427903352	1.44525342604574
